dataset,detector,feat_A,feat_B,coef,p_value,p_value_fdr,sig
bbc,LOF,cls_std,diag_mean,-0.0076,0.7498,0.8895,
bbc,LOF,head_entropy,diag_mean,-0.0088,0.6964,0.8705,
bbc,DeepSVDD,cls_token_pca,cls_mean,-0.0466,0.0536,0.2798,
bbc,DeepSVDD,cls_token_pca,cls_max,-0.0454,0.063,0.3046,
bbc,DeepSVDD,cls_token_pca,cls_std,-0.0331,0.1741,0.5312,
bbc,DeepSVDD,cls_token_pca,head_entropy,-0.0551,0.0242,0.1642,
bbc,DeepSVDD,cls_token_pca,diag_mean,-0.0253,0.2989,0.6521,
bbc,DeepSVDD,cls_mean,cls_max,0.0156,0.5222,0.7823,
bbc,DeepSVDD,cls_mean,cls_std,0.0183,0.4507,0.7443,
bbc,DeepSVDD,cls_mean,head_entropy,0.019,0.4358,0.7338,
bbc,DeepSVDD,cls_mean,diag_mean,0.0222,0.3623,0.7012,
bbc,DeepSVDD,cls_max,cls_std,-0.0144,0.557,0.7856,
bbc,DeepSVDD,cls_max,head_entropy,0.0014,0.9549,0.9711,
bbc,DeepSVDD,cls_max,diag_mean,0.0081,0.7439,0.8895,
bbc,DeepSVDD,cls_std,head_entropy,0.0048,0.8459,0.92,
bbc,DeepSVDD,cls_std,diag_mean,0.0209,0.3954,0.7194,
bbc,DeepSVDD,head_entropy,diag_mean,0.0307,0.2116,0.5686,
bbc,ECOD,cls_token_pca,cls_mean,-0.0435,0.0,0.0,interference
bbc,ECOD,cls_token_pca,cls_max,-0.0188,0.0,0.0,interference
bbc,ECOD,cls_token_pca,cls_std,-0.0085,0.0126,0.0948,
bbc,ECOD,cls_token_pca,head_entropy,-0.0496,0.0,0.0,interference
bbc,ECOD,cls_token_pca,diag_mean,-0.0208,0.0,0.0,interference
bbc,ECOD,cls_mean,cls_max,0.001,0.7968,0.9069,
bbc,ECOD,cls_mean,cls_std,0.0088,0.006,0.05,
bbc,ECOD,cls_mean,head_entropy,-0.0029,0.4425,0.7373,
bbc,ECOD,cls_mean,diag_mean,-0.0022,0.5634,0.7892,
bbc,ECOD,cls_max,cls_std,0.0005,0.8854,0.9348,
bbc,ECOD,cls_max,head_entropy,0.0025,0.528,0.7823,
bbc,ECOD,cls_max,diag_mean,0.0022,0.5802,0.7974,
bbc,ECOD,cls_std,head_entropy,0.0116,0.0006,0.0076,synergy
bbc,ECOD,cls_std,diag_mean,0.005,0.1383,0.4741,
bbc,ECOD,head_entropy,diag_mean,0.0063,0.1148,0.4313,
bbc,IForest,cls_token_pca,cls_mean,-0.0806,0.0,0.0,interference
bbc,IForest,cls_token_pca,cls_max,-0.0253,0.0031,0.0275,interference
bbc,IForest,cls_token_pca,cls_std,-0.0051,0.5225,0.7823,
bbc,IForest,cls_token_pca,head_entropy,-0.029,0.0007,0.0087,interference
bbc,IForest,cls_token_pca,diag_mean,-0.0229,0.0068,0.0536,
bbc,IForest,cls_mean,cls_max,0.005,0.5532,0.7856,
bbc,IForest,cls_mean,cls_std,0.0108,0.1723,0.5303,
bbc,IForest,cls_mean,head_entropy,-0.0056,0.5072,0.7771,
bbc,IForest,cls_mean,diag_mean,-0.009,0.2856,0.6479,
bbc,IForest,cls_max,cls_std,-0.003,0.705,0.8707,
bbc,IForest,cls_max,head_entropy,0.0013,0.881,0.9343,
bbc,IForest,cls_max,diag_mean,-0.0027,0.755,0.8895,
bbc,IForest,cls_std,head_entropy,0.0103,0.1977,0.5604,
bbc,IForest,cls_std,diag_mean,0.003,0.7049,0.8707,
bbc,IForest,head_entropy,diag_mean,0.0001,0.9934,0.9958,
bbc,SO-GAAL,cls_token_pca,cls_mean,0.0797,0.0144,0.1058,
bbc,SO-GAAL,cls_token_pca,cls_max,0.0458,0.1543,0.5095,
bbc,SO-GAAL,cls_token_pca,cls_std,0.0507,0.1166,0.4327,
bbc,SO-GAAL,cls_token_pca,head_entropy,-0.0447,0.1608,0.5237,
bbc,SO-GAAL,cls_token_pca,diag_mean,0.1078,0.001,0.0109,synergy
bbc,SO-GAAL,cls_mean,cls_max,0.0117,0.7546,0.8895,
bbc,SO-GAAL,cls_mean,cls_std,0.0238,0.5254,0.7823,
bbc,SO-GAAL,cls_mean,head_entropy,0.011,0.7677,0.8908,
bbc,SO-GAAL,cls_mean,diag_mean,0.0386,0.3016,0.654,
bbc,SO-GAAL,cls_max,cls_std,0.0392,0.294,0.65,
bbc,SO-GAAL,cls_max,head_entropy,-0.038,0.3041,0.6556,
bbc,SO-GAAL,cls_max,diag_mean,0.0244,0.5149,0.7823,
bbc,SO-GAAL,cls_std,head_entropy,-0.0106,0.7745,0.8908,
bbc,SO-GAAL,cls_std,diag_mean,0.0333,0.3733,0.7078,
bbc,SO-GAAL,head_entropy,diag_mean,0.0082,0.8244,0.9132,
bbc,AE,cls_token_pca,cls_mean,0.006,0.5417,0.7833,
bbc,AE,cls_token_pca,cls_max,-0.0124,0.2502,0.6128,
bbc,AE,cls_token_pca,cls_std,0.0135,0.2065,0.5686,
bbc,AE,cls_token_pca,head_entropy,-0.0189,0.0463,0.2527,
bbc,AE,cls_token_pca,diag_mean,-0.0593,0.0,0.0,interference
bbc,AE,cls_mean,cls_max,0.003,0.7613,0.8898,
bbc,AE,cls_mean,cls_std,-0.0001,0.9958,0.9958,
bbc,AE,cls_mean,head_entropy,-0.0072,0.399,0.7194,
bbc,AE,cls_mean,diag_mean,-0.0002,0.9812,0.9922,
bbc,AE,cls_max,cls_std,0.0127,0.2281,0.5864,
bbc,AE,cls_max,head_entropy,-0.0128,0.181,0.5389,
bbc,AE,cls_max,diag_mean,-0.0116,0.2781,0.6479,
bbc,AE,cls_std,head_entropy,-0.012,0.2076,0.5686,
bbc,AE,cls_std,diag_mean,-0.0048,0.65,0.8417,
bbc,AE,head_entropy,diag_mean,-0.0109,0.2484,0.6128,
bbc,VAE,cls_token_pca,cls_mean,0.009,0.0588,0.2963,
bbc,VAE,cls_token_pca,cls_max,-0.0449,0.0,0.0,interference
bbc,VAE,cls_token_pca,cls_std,-0.0092,0.0593,0.2963,
bbc,VAE,cls_token_pca,head_entropy,0.0046,0.3525,0.7012,
bbc,VAE,cls_token_pca,diag_mean,-0.0408,0.0,0.0,interference
bbc,VAE,cls_mean,cls_max,0.0025,0.6055,0.8111,
bbc,VAE,cls_mean,cls_std,0.0102,0.0349,0.2075,
bbc,VAE,cls_mean,head_entropy,0.0044,0.3616,0.7012,
bbc,VAE,cls_mean,diag_mean,-0.0072,0.1331,0.465,
bbc,VAE,cls_max,cls_std,-0.0058,0.2376,0.594,
bbc,VAE,cls_max,head_entropy,0.0026,0.6082,0.8111,
bbc,VAE,cls_max,diag_mean,-0.0221,0.0,0.0002,interference
bbc,VAE,cls_std,head_entropy,0.0028,0.5803,0.7974,
bbc,VAE,cls_std,diag_mean,-0.0099,0.0445,0.2463,
bbc,VAE,head_entropy,diag_mean,0.0084,0.0913,0.3851,
bbc,LUNAR,cls_token_pca,cls_mean,-0.0097,0.1943,0.555,
bbc,LUNAR,cls_token_pca,cls_max,0.0083,0.2901,0.6487,
bbc,LUNAR,cls_token_pca,cls_std,0.0121,0.115,0.4313,
bbc,LUNAR,cls_token_pca,head_entropy,-0.0367,0.0,0.0,interference
bbc,LUNAR,cls_token_pca,diag_mean,-0.0741,0.0,0.0,interference
bbc,LUNAR,cls_mean,cls_max,0.0012,0.8768,0.9343,
bbc,LUNAR,cls_mean,cls_std,0.0067,0.3661,0.7048,
bbc,LUNAR,cls_mean,head_entropy,0.0056,0.4689,0.7469,
bbc,LUNAR,cls_mean,diag_mean,-0.0039,0.5981,0.8111,
bbc,LUNAR,cls_max,cls_std,0.0138,0.071,0.3319,
bbc,LUNAR,cls_max,head_entropy,-0.0063,0.4222,0.7272,
bbc,LUNAR,cls_max,diag_mean,-0.0043,0.5798,0.7974,
